> Consultas principales de canalchat.org en Search Console, últimos 3 meses.
> Pegadas a mano por el cliente el 2026-08-06: canalchat.org no está en las dos
> service accounts que dan acceso por API al resto de la red, así que este
> volcado es la única forma de tener su demanda. Formato: consulta / clics /
> impresiones. Sirve como mapa de demanda de TODA la red, no solo de canalchat:
> son las búsquedas reales del nicho de chat hispano.
chat gratis	69005	1250090
chat hispano	8051	567987
chat hot	9377	360854
el chat	3851	296251
chat sexo	7072	234464
chatear gratis	9472	211403
chat venezuela	11846	207868
chat bogota	7429	186605
chat peru	32201	184794
latinchat	2052	171471
chat gay	24065	149851
chateagratis	1031	145801
dale chat	1218	132330
chat mexico	9896	125220
chat	7904	115236
chat de sexo	2226	112314
chat cali	16612	100134
irc hispano	1932	99409
chat valencia	6156	96983
chachipen	75640	96295
chathispano	715	95828
chat españa	5047	94436
chat uruguay	1361	84033
gentechat	1350	82198
chat sevilla	2650	81812
chatea gratis	2873	81801
chatear	4601	77703
chat medellin	13570	77512
chat las palmas	4682	75319
chat ecuador	5484	74884
chat gay sevilla	547	73707
canalchat	57917	70933
chat mazmorra	5691	70868
chat asturias	4978	70308
chat murcia	2331	66129
chat lima	10788	65994
chat madrid	2612	64996
chat caliente	1704	64526
chat colombia	8963	64236
chatgratis	2787	62573
gente chat	1511	60700
chat lesbianas	23479	55708
chat tenerife	2702	54481
elchat	1233	53229
chat barcelona	891	52265
salas de chat	1986	50729
chathot	677	47663
chat online	1427	47517
chat bogotá	939	46835
chat gratis españa	2761	46413
irc chat	2591	45887
chat irc	2836	44901
chat monterrey	23035	42129
canal chat	33789	42036
chat bolivia	4160	41681
chat puebla	3054	41105
chat barranquilla	7682	39658
chat erotico	1128	39386
chat alicante	981	39033
chat euskadi	10747	38068
chat concepcion	4164	38020
chatsexo	1519	37980
chat nuevo leon	6613	37678
chat cornudos	7555	37491
chat gratis mexico	2672	37003
chat mas de 60	2241	36186
chats gratis	2516	35896
chat gitano	13418	34444
chat online gratis	1863	34272
chat granada	2162	33148
chat cadiz	1988	32363
chat galicia	7541	31385
sex chat	808	31085
chat jalisco	1282	30795
el chat gratis	1783	30781
chat chihuahua	2119	29519
webchat	1816	29316
salas de chat gratis	1124	28985
chat gratis sin registro	1879	28647
latinchat peru	827	28565
chat gay barcelona	555	27605
chat gratis peru	3457	27366
chat gay malaga	492	26799
chat gratis usa	3427	25955
chat cordoba	609	25872
chat terra	1260	25760
chat gratis en español	2792	25598
chatgay	4283	24966
